lhs	op	rhs	block	group	label	est	se	z	pvalue	std.lv	std.all	std.nox
Belong	=~	sbvalued	1	1		1	0	NA	NA	0.65978435834938	0.86623223742756	0.86623223742756
Belong	=~	sbmyself	1	1		0.965746922995738	0.0228629687116335	42.2406615333525	0	0.637184713916631	0.830501896371366	0.830501896371366
Belong	=~	sbcommunity	1	1		1.0100554915371	0.0221074655911661	45.6884344056475	0	0.666418814381074	0.878224388948625	0.878224388948625
Gains	=~	pganalyze	1	1		1	0	NA	NA	0.514394421133613	0.735526567103172	0.735526567103172
Gains	=~	pgthink	1	1		1.02823790111416	0.0326027768608234	31.5383534814707	0	0.52891983993126	0.795532518566812	0.795532518566812
Gains	=~	pgwork	1	1		0.999237823993727	0.0310436852203005	32.1881186754301	0	0.514002362048064	0.739272355352749	0.739272355352749
Gains	=~	pgvalues	1	1		0.97326901966206	0.0324579392573132	29.9855456609979	0	0.500644153976344	0.693691955983913	0.693691955983913
Gains	=~	pgprobsolve	1	1		0.987085794280666	0.0326294499584849	30.2513770699952	0	0.507751425758216	0.757207819561639	0.757207819561639
SupportEnv	=~	SEacademic	1	1		1	0	NA	NA	0.605340610619775	0.825498552107947	0.825498552107947
SupportEnv	=~	SEwellness	1	1		1.0053081815448	0.0244341866060672	41.1435092050566	0	0.608553868477382	0.811826097089458	0.811826097089458
SupportEnv	=~	SEnonacad	1	1		1.02568233902186	0.0252880596560809	40.5599461948129	0	0.62088717340541	0.779202703472791	0.779202703472791
SupportEnv	=~	SEactivities	1	1		0.98444230845146	0.0278964778070905	35.2891255756037	0	0.595922908117947	0.739459470732022	0.739459470732022
SupportEnv	=~	SEdiverse	1	1		1.02040839964382	0.0260176981983336	39.2197800076401	0	0.617694643721935	0.795972553084635	0.795972553084635
Satisf	=~	sameinst	1	1		1	0	NA	NA	0.558905690267752	0.859343872860691	0.859343872860691
Satisf	=~	evalexp	1	1		0.999537661939431	0.0475298349863228	21.0296892936207	0	0.558647286894873	0.847137131493249	0.847137131493249
DevAdj	=~	Belong	1	1		1	0	NA	NA	0.414401281793609	0.414401281793609	0.414401281793609
DevAdj	=~	Gains	1	1		0.523163804757225	0.0612182568181663	8.54587882682047	0	0.27807666434827	0.27807666434827	0.27807666434827
DevAdj	=~	SupportEnv	1	1		0.948303555179348	0.0793921358373945	11.9445527592506	0	0.428322287959723	0.428322287959723	0.428322287959723
DevAdj	=~	Satisf	1	1		0.982649865221575	0.0840251142992956	11.6947161978429	0	0.480710239654349	0.480710239654349	0.480710239654349
EmoDiss	=~	MHWdacad	1	1		1	0	NA	NA	0.985797233756126	0.900684981120622	0.900684981120622
EmoDiss	=~	MHWdlonely	1	1		0.989015799823212	0.0155299562415903	63.6843906343121	0	0.974969039606825	0.92646111752198	0.92646111752198
EmoDiss	=~	MHWdmental	1	1		0.996554975780378	0.0151100857100865	65.952966442483	0	0.9824011384102	0.938948012757712	0.938948012757712
EmoDiss	=~	MHWdexhaust	1	1		1.00053520651843	0.0143884938239921	69.5371745477687	0	0.986324838861481	0.934876700332552	0.934876700332552
EmoDiss	=~	MHWdsleep	1	1		0.987314967843339	0.0165990962767032	59.4800434544761	0	0.973292364145982	0.909791795761414	0.909791795761414
EmoDiss	=~	MHWdfinancial	1	1		0.980421739368457	0.0187282454771209	52.3498979424516	0	0.966497038583794	0.852079987520483	0.852079987520483
QualEngag	=~	QIadmin	1	1		1	0	NA	NA	0.996915996860948	0.891081359650829	0.891081359650829
QualEngag	=~	QIstudent	1	1		0.977141458127417	0.0164700261105967	59.3284704933608	0	0.974127950803255	0.896829905654259	0.896829905654259
QualEngag	=~	QIadvisor	1	1		0.997282596717551	0.0159801862573555	62.4074451108798	0	0.994206974058753	0.921900935932734	0.921900935932734
QualEngag	=~	QIfaculty	1	1		0.996609306194336	0.0147669250561257	67.489291264529	0	0.993535759965624	0.936740179001436	0.936740179001436
QualEngag	=~	QIstaff	1	1		0.997387133207737	0.015738193646184	63.3736727117709	0	0.994311188158074	0.916775128501499	0.916775128501499
EmoDiss	~	x_FASt	1	1	W2__a1_g1	0.08538150046899	0.0887358157993158	0.962198856232844	0.335949723571666	0.0866116251347813	0.0432098166791029	0.0866116251347813
EmoDiss	~	credit_dose_c	1	1	W2__a1c_g1	0.0499597231998541	0.0652765864039002	0.765354408864569	0.444060533300833	0.0506795124688019	0.087943107511345	0.0506795124688019
EmoDiss	~	XZ_c	1	1	W2__a1z_g1	-0.0132591373341561	0.070997998602762	-0.186753677499302	0.851853767829012	-0.0134501669107303	-0.0195575639548963	-0.0134501669107303
EmoDiss	~	cohort	1	1	W2__g1_g1	-0.0573169822758794	0.0480238894336073	-1.19350979172813	0.232669779649622	-0.0581427704534003	-0.0290675006740009	-0.0581427704534003
EmoDiss	~	hgrades_c	1	1		-0.0383183624752937	0.0254708666014642	-1.5043996372346	0.132478497635265	-0.0388704301079153	-0.0377206007237819	-0.0388704301079153
EmoDiss	~	bparented_c	1	1		-0.0226656033835193	0.0236459872477294	-0.958539102049788	0.337790983899658	-0.0229921555948761	-0.022670323248508	-0.0229921555948761
EmoDiss	~	hapcl_c	1	1		-0.0301392986369047	0.0589404464107397	-0.511351719782918	0.609104795501719	-0.0305735272983742	-0.0128788044938314	-0.0305735272983742
