lhs	op	rhs	label	est.std	se	z	pvalue	ci.lower	ci.upper
Belong	=~	sbvalued		0.862313851145423	0.00518525953540705	166.301000992756	0	0.852150929205532	0.872476773085314
Belong	=~	sbmyself		0.841823403778967	0.00551025891705706	152.773838117315	0	0.831023494756045	0.85262331280189
Belong	=~	sbcommunity		0.889724699825096	0.00478987728210682	185.7510427561	0	0.8803367128618	0.899112686788392
Gains	=~	pganalyze		0.709437873026222	0.00853134213174462	83.1566548464215	0	0.692716749708213	0.726158996344231
Gains	=~	pgthink		0.77995199475636	0.0072549824035542	107.505704545095	0	0.765732490536921	0.794171498975798
Gains	=~	pgwork		0.74439273237207	0.00790040824375241	94.222059089254	0	0.728908216751151	0.759877247992988
Gains	=~	pgvalues		0.698046515990076	0.00873451930536126	79.9181376314109	0	0.680927172729298	0.715165859250854
Gains	=~	pgprobsolve		0.759077893138913	0.00762489778378771	99.5525336422066	0	0.74413336809689	0.774022418180936
SupportEnv	=~	SEacademic		0.827710692115622	0.00568798679624219	145.519095202973	0	0.816562442850448	0.838858941380796
SupportEnv	=~	SEwellness		0.808913411975052	0.00605742569920123	133.540789791565	0	0.79704107576559	0.820785748184514
SupportEnv	=~	SEnonacad		0.774101715172458	0.00675603345021583	114.579319489268	0	0.760860132931687	0.787343297413229
SupportEnv	=~	SEactivities		0.732212062509543	0.0075829356123967	96.5605010957116	0	0.717349781812159	0.747074343206926
SupportEnv	=~	SEdiverse		0.786860913001841	0.00649765682531103	121.099179928478	0	0.774125739640331	0.799596086363352
Satisf	=~	sameinst		0.897989168069852	0.0111044864254787	80.8672399301117	0	0.8762247746091	0.919753561530604
Satisf	=~	evalexp		0.843985336211384	0.0108538142285923	77.759331276195	0	0.822712251228455	0.865258421194313
DevAdj	=~	Belong		0.470570400357402	0.0147348968806516	31.9357783206009	0	0.441690533155414	0.499450267559391
DevAdj	=~	Gains		0.306779211918239	0.0161697448657007	18.9724213007825	0	0.275087094342265	0.338471329494214
DevAdj	=~	SupportEnv		0.47869598458121	0.0150696979928898	31.7654663555348	0	0.44915991925725	0.508232049905169
DevAdj	=~	Satisf		0.498995021360563	0.0151443351570061	32.949285405224	0	0.469312669883027	0.528677372838098
EmoDiss	=~	MHWdacad		0.903093190560291	0.00301026507237863	300.004540745208	0	0.89719317943451	0.908993201686072
EmoDiss	=~	MHWdlonely		0.922316702595657	0.00252482595186168	365.299121674342	0	0.917368134662776	0.927265270528538
EmoDiss	=~	MHWdmental		0.941376169728623	0.00203942596026607	461.58879413588	0	0.937378968297366	0.945373371159881
EmoDiss	=~	MHWdexhaust		0.928045953305919	0.00236560277592458	392.30844787253	0	0.923409457063379	0.932682449548459
EmoDiss	=~	MHWdsleep		0.918250655204522	0.00261490204034495	351.160632802669	0	0.913125541382345	0.923375769026698
EmoDiss	=~	MHWdfinancial		0.856246425552168	0.00419690857268133	204.018365118954	0	0.848020635903306	0.864472215201031
QualEngag	=~	QIadmin		0.884910307599663	0.00352257963081993	251.210873945151	0	0.878006178390581	0.891814436808744
QualEngag	=~	QIstudent		0.905109423596239	0.00301692282823561	300.010797467291	0	0.899196363508761	0.911022483683718
QualEngag	=~	QIadvisor		0.927959293839136	0.00245404702715662	378.134275166811	0	0.923149450049541	0.93276913762873
QualEngag	=~	QIfaculty		0.929568258861764	0.00241236478301025	385.33486536054	0	0.924840110769491	0.934296406954037
QualEngag	=~	QIstaff		0.917422497184862	0.00271135488637994	338.363119410663	0	0.91210833925825	0.922736655111473
EmoDiss	~	x_FASt	a1	0.0652312374298524	0.0180498305897483	3.61395289033359	0.000301563878739586	0.0298542195468965	0.100608255312808
EmoDiss	~	XZ_c	a1z	0.0424468916841931	0.018468845752328	2.29829694034034	0.0215448944822556	0.00624861917360465	0.0786451641947816
EmoDiss	~	cohort	g1	0.0070769383196317	0.014531679461769	0.487000717174516	0.626257822712721	-0.021404630060316	0.0355585066995794
EmoDiss	~	hgrades_c		-0.0319983676945132	0.0149085404443136	-2.14631122436389	0.0318481566850533	-0.0612185700274266	-0.00277816536159983
EmoDiss	~	bparented_c		0.00973923687279765	0.0145619567035086	0.668813750177615	0.503614294351197	-0.0188016738105108	0.0382801475561061
EmoDiss	~	pell		0.0615674641417061	0.0145842247854052	4.22151091659793	2.42670200134576e-05	0.0329829088198756	0.0901520194635367
